id,sitzung,wahlperiode,in_writing,speaker,speaker_cleaned,speaker_fp,sequence,text,filename,type,speaker_party
2369558,29,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,0,"Die Sitzung ist eröffnet. Nehmen Sie bitte Platz.

Guten Morgen, liebe Kolleginnen und Kollegen! Ich begrüße Sie alle herzlich zu den Haushaltsberatungen des Deutschen Bundestages.

Bevor wir in die Tagesordnung eintreten, möchte ich dem Kollegen Dr. Herbert Schui zu seinem 70. Geburtstag gratulieren, den er am vergangenen Wochenende begangen hat.",data/txt/17029.txt,chair,
2369559,29,17,0,,,,1,Beifall,data/txt/17029.txt,poi,
2369560,29,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,2,"Herr Kollege Schui, im Namen des ganzen Hauses auch für die nächsten 70 Jahre alle guten Wünsche!

Ich rufe nun die Tagesordnungspunkte I a und b auf:

a)	Zweite Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2010 (Haushaltsgesetz 2010)

- Drucksachen 17/200, 17/201 -

b)	Beratung der Beschlussempfehlung des Haushaltsausschusses (8. Ausschuss) zu der Unterrichtung durch die Bundesregierung

Finanzplan des Bundes 2009 bis 2013

- Drucksachen 16/13601, 17/626 -

Berichterstattung:

Abgeordnete Norbert Barthle

Carsten Schneider (Erfurt)

Otto Fricke

Roland Claus

Alexander Bonde

Wir kommen zur Beratung der Einzelpläne, und zwar zunächst der drei Einzelpläne, zu denen keine Aussprache vorgesehen ist.

Ich rufe den Tagesordnungspunkt I.1 auf:

Einzelplan 01

Bundespräsident und Bundespräsidialamt

- Drucksachen 17/601, 17/623 -

Berichterstattung:

Abgeordnete Herbert Frankenhauser

Carsten Schneider (Erfurt)

Dr. h. c. Jürgen Koppelin

Dr. Dietmar Bartsch

Stephan Kühn

Wer stimmt für den Einzelplan 01 in der Ausschussfassung? - Wer stimmt dagegen? - Enthaltungen? - Dann ist der Einzelplan 01 in der vom Haushaltsausschuss festgestellten Fassung angenommen.

Ich rufe den Tagesordnungspunkt I.2 auf:

Einzelplan 02

Deutscher Bundestag

- Drucksachen 17/602, 17/623 -

Berichterstattung:

Abgeordnete Bernhard Schulte-Drüggelte

Johannes Kahrs

Dr. h. c. Jürgen Koppelin

Roland Claus

Alexander Bonde

Wer stimmt für den Einzelplan 02 in der Ausschussfassung? - Wer stimmt dagegen? - Wer enthält sich? - Damit ist auch der Einzelplan 02 mit den Stimmen des Hauses bei Enthaltung der SPD-Fraktion angenommen.

Ich rufe den Tagesordnungspunkt I.3 auf:

Einzelplan 03

Bundesrat

- Drucksachen 17/603, 17/623 -

Berichterstattung:

Abgeordnete Stefanie Vogelsang

Klaus Brandner

Heinz-Peter Haustein

Dr. Dietmar Bartsch

Priska Hinz (Herborn)

Wer stimmt für den Einzelplan 03 in der Ausschussfassung? - Wer stimmt dagegen? - Wer enthält sich? - Damit ist der Einzelplan 03 einstimmig angenommen.

Ich rufe den Tagesordnungspunkt I.4 auf:

a)	Einzelplan 08

Bundesministerium der Finanzen

- Drucksachen 17/608, 17/623 -

Berichterstattung:

Abgeordnete Norbert Brackmann

Carsten Schneider (Erfurt)

Otto Fricke

Dr. Gesine Lötzsch

Stephan Kühn

b)	Einzelplan 20

Bundesrechnungshof

- Drucksachen 17/623, 17/624 -

Berichterstattung:

Abgeordnete Norbert Barthle

Carsten Schneider (Erfurt)

Otto Fricke

Roland Claus

Alexander Bonde

Zum Einzelplan 08 liegt ein Änderungsantrag der Fraktion Die Linke vor.

Nach einer interfraktionellen Vereinbarung sind für die Aussprache 90 Minuten vorgesehen. - Ich höre keinen Widerspruch. Dann können wir offenkundig so verfahren.

Ich eröffne die Aussprache und erteile das Wort zunächst dem Kollegen Carsten Schneider für die SPD-Fraktion.",data/txt/17029.txt,chair,
2369561,29,17,0,,,,3,Beifall bei der SPD,data/txt/17029.txt,poi,
2369562,29,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,4,,data/txt/17029.txt,chair,
2369563,29,17,0,Carsten Schneider (Erfurt) (SPD),Carsten Schneider,carsten-schneider,5,"Herr Präsident! Liebe Kolleginnen und Kollegen! Herr Bundesminister Schäuble, wir freuen uns, dass Sie wieder unter uns sind - herzlich willkommen - und dass wir heute die Gelegenheit haben, die Auseinandersetzung über den Haushalt 2010 und die Folgejahre zu führen. Sie sind mit vielen Vorschusslorbeeren - große Erfahrung, Weitsicht, politisches Gewicht -",data/txt/17029.txt,speech,spd
2369564,29,17,0,Volker Kauder [CDU/CSU],Volker Kauder,volker-kauder,6,Alles richtig!,data/txt/17029.txt,poi,cducsu
2369565,29,17,0,Carsten Schneider (Erfurt) (SPD),Carsten Schneider,carsten-schneider,7,"als Minister gestartet. Wenn ich den Haushaltsplan betrachte, Herr Kauder, dann stelle ich fest: Sie haben den Bundesminister im Regen stehen lassen.",data/txt/17029.txt,speech,spd
2369566,29,17,0,Volker Kauder [CDU/CSU],Volker Kauder,volker-kauder,8,Was?,data/txt/17029.txt,poi,cducsu
2369567,29,17,0,Norbert Barthle [CDU/CSU],Norbert Barthle,norbert-barthle,9,Ganz und gar nicht!,data/txt/17029.txt,poi,cducsu
