id,sitzung,wahlperiode,in_writing,speaker,speaker_cleaned,speaker_fp,sequence,text,filename,type,speaker_party
2423717,60,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,0,"Die Sitzung ist eröffnet. Nehmen Sie bitte Platz. Liebe Kolleginnen und Kollegen, ich begrüße Sie alle herzlich, jedenfalls diejenigen, die zu dieser frühen Uhrzeit schon eingetroffen sind.

Wir setzen unsere Haushaltsberatungen - Tagesordnungspunkt 1 - fort:

a)	Erste Beratung des von der Bundesregierung eingebrachten Entwurfs eines Gesetzes über die Feststellung des Bundeshaushaltsplans für das Haushaltsjahr 2011 (Haushaltsgesetz 2011)

- Drucksache 17/2500 -

Überweisungsvorschlag:

Haushaltsausschuss

b)	Beratung der Unterrichtung durch die Bundesregierung

Finanzplan des Bundes 2010 bis 2014

- Drucksache 17/2501 -

Überweisungsvorschlag:

Haushaltsausschuss

Vereinbarungsgemäß soll die heutige Aussprache eine Redezeit von insgesamt dreieinhalb Stunden umfassen. Dazu gibt es offenkundig keine neuen Anträge.

Wir beginnen die heutigen Haushaltsberatungen mit dem Geschäftsbereich des Bundesministeriums für Verkehr, Bau und Stadtentwicklung, Einzelplan 12.

Das Wort erhält zunächst der Bundesminister Dr. Peter Ramsauer.",data/txt/17060.txt,chair,
2423718,60,17,0,,,,1,Beifall bei der CDU/CSU und der FDP,data/txt/17060.txt,poi,
2423719,60,17,0,Präsident Dr. Norbert Lammert,Dr. Norbert Lammert,norbert-lammert,2,,data/txt/17060.txt,chair,
2423720,60,17,0,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",Dr. Peter Ramsauer,peter-ramsauer,3,"Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Meine sehr geehrten Damen und Herren auf den Rängen und vor den Fernsehgeräten! In 16 Tagen begehen wir den 20. Jahrestag der Wiedervereinigung unseres Vaterlandes, und die meisten von uns wissen noch und haben noch vor Augen, wie das DDR-Erbe aussah. Die Verkehrsinfrastruktur war vollkommen vernachlässigt, und Teile der wertvollen Bausubstanz waren dem Verfall preisgegeben. Das war die bittere Wahrheit.",data/txt/17060.txt,speech,
2423721,60,17,0,Norbert Barthle [CDU/CSU],Norbert Barthle,norbert-barthle,4,Das kann man wohl sagen!,data/txt/17060.txt,poi,cducsu
2423722,60,17,0,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",Dr. Peter Ramsauer,peter-ramsauer,5,"Wenn wir uns heute im geeinten Deutschland und insbesondere in den neuen Bundesländern umsehen, so dürfen wir mit Fug und Recht sagen: In der Stadtentwicklung, im Bereich der Verkehrsinfrastruktur und im Bereich der gesamten Bausubstanz und Baukultur ist Beeindruckendes geschaffen worden.",data/txt/17060.txt,speech,
2423723,60,17,0,,,,6,"Beifall bei der CDU/CSU, der SPD und der FDP",data/txt/17060.txt,poi,
2423724,60,17,0,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",Dr. Peter Ramsauer,peter-ramsauer,7,"Gerade auch die Verkehrs-, Bau- und Stadtentwicklungspolitik des Bundes hat dazu Erhebliches beigetragen.",data/txt/17060.txt,speech,
2423725,60,17,0,Johannes Kahrs [SPD],Johannes Kahrs,johannes-kahrs,8,So ist das!,data/txt/17060.txt,poi,spd
2423726,60,17,0,"Dr. Peter Ramsauer, Bundesminister für Verkehr, Bau und Stadtentwicklung",Dr. Peter Ramsauer,peter-ramsauer,9,"- So ist das, Herr Kahrs, genau. Danke.",data/txt/17060.txt,speech,
2423727,60,17,0,Iris Gleicke [SPD],Iris Gleicke,iris-gleicke,10,Das muss fortgesetzt werden!,data/txt/17060.txt,poi,spd
